Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,kWh del-rec,kVARh del-rec,Vln a,Vll ab,Vll bc,Vll ca,kW tot,kVAR tot,PF sign tot,Freq,Vll avg,I avg
07-01-2023 7:30:00000,2323.227539,114.059959,0.000000,0.000000,9972350.000000,1995146.500000,13216.458,22903.730,22936.375000,22901.090,9235.810547,513.234985,-99.845955,49.892090,22913.732,233.474747
07-01-2023 7:45:00000,2316.859863,43.071404,0.000000,2.958364,9974667.000000,1995186.625000,13228.986,22921.096,22959.002,22927.967,9265.553711,-40.554367,99.999039,50.130642,22936.021,233.636414
07-01-2023 8:00:00000,2159.035645,2.160229,0.000000,16.891888,9976826.000000,1995171.875000,13229.929,22915.648,22947.660,22930.672,8282.533203,-153.822021,99.982758,50.099407,22931.326,208.980774
07-01-2023 8:15:00000,1768.399658,66.769096,0.000000,2.806349,9978594.000000,1995235.875000,13243.391,22936.189,22973.316,22957.593750,6540.528809,442.552368,-99.771866,50.044548,22955.701,165.350830
07-01-2023 8:30:00000,1643.639160,122.617294,0.000000,0.000000,9980238.000000,1995358.500000,13220.636,22898.662,22938.221,22918.973,6565.876465,571.851257,-99.622871,50.106171,22918.619,166.498962
07-01-2023 8:45:00000,1643.862061,178.540436,0.000000,0.000000,9981881.000000,1995537.000000,13223.292,22901.396,22942.418,22925.025,6607.865723,853.078979,-99.176926,50.172398,22922.947,168.278259
07-01-2023 9:00:00000,1644.635498,269.842133,0.000000,0.000000,9983526.000000,1995806.875000,13239.340820,22928.607,22963.736,22950.215,6600.699707,1163.570801,-98.481567,50.169472,22947.520,169.069855
07-01-2023 9:15:00000,1643.481812,244.999252,0.000000,0.000000,9985170.000000,1996051.875000,13228.133,22907.338,22952.174,22936.607,6571.253906,982.029297,-98.901695,50.080528,22932.039,167.704163
07-01-2023 9:30:00000,1642.007813,247.879242,0.000000,0.000000,9986812.000000,1996299.750000,13256.364,22955.811,23000.676,22985.930,6581.041504,755.167419,-99.348068,50.023022,22980.807,166.851898
07-01-2023 9:45:00000,1641.037109,176.646698,0.000000,0.000000,9988453.000000,1996476.375000,13244.896,22940.461,22984.484,22963.455,6544.336914,714.617554,-99.409088,50.036911,22962.801,165.958282
07-01-2023 10:00:00000,1625.806396,207.773666,0.000000,0.000000,9990078.000000,1996684.125000,13202.873,22871.984,22915.502,22888.537,6441.512207,992.690918,-98.833275,49.916473,22892.008,164.827942
07-01-2023 10:15:00000,1621.797485,332.320251,0.000000,0.000000,9991700.000000,1997016.500000,13298.105,23037.824,23086.480,23051.656250,6539.691406,1493.387939,-97.490379,49.787029,23058.654,168.370697
